Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-03-16 00:51:27,2023-03-17 02:49:45,UTC-04:00,2023-03-16 17:25:00,2023-03-16 17:55:00,30,Spin,11.5,339.0,179,146,6,15,19,48,12,false,,,
2023-03-15 02:46:45,2023-03-16 00:51:27,UTC-04:00,2023-03-15 17:39:33,2023-03-15 19:04:16,84,Weightlifting,10.9,508.0,176,115,44,37,11,6,0,false,,,
2023-03-14 02:08:17,2023-03-15 02:46:45,UTC-04:00,2023-03-14 16:20:00,2023-03-14 17:20:00,60,Weightlifting,6.1,196.0,139,99,54,16,2,0,0,false,,,
2023-03-11 02:23:04,2023-03-12 04:22:51,UTC-05:00,2023-03-11 21:44:41,2023-03-11 23:05:33,80,Activity,13.3,763.0,171,141,0,14,68,18,0,false,,,
2023-03-10 02:08:33,2023-03-11 02:23:04,UTC-05:00,2023-03-11 01:00:10,2023-03-11 02:21:26,81,Activity,12.3,654.0,165,136,0,38,46,16,0,false,,,
2023-03-10 02:08:33,2023-03-11 02:23:04,UTC-05:00,2023-03-10 10:40:00,2023-03-10 11:49:00,69,Weightlifting,5.5,168.0,157,102,46,23,4,1,0,false,,,
2023-03-09 02:33:01,2023-03-10 02:08:33,UTC-05:00,2023-03-09 17:40:00,2023-03-09 18:54:00,74,Weightlifting,4.9,138.0,169,97,54,7,1,2,0,false,,,
2023-03-08 01:27:03,2023-03-09 02:33:01,UTC-05:00,2023-03-08 18:45:00,2023-03-08 19:58:00,73,Squash,14.5,766.0,171,139,10,7,53,29,0,false,,,
2023-03-08 01:27:03,2023-03-09 02:33:01,UTC-05:00,2023-03-08 17:30:00,2023-03-08 18:35:00,65,Weightlifting,7.2,294.0,149,108,40,47,3,0,0,false,,,
2023-03-07 00:13:30,2023-03-08 01:27:03,UTC-05:00,2023-03-07 16:30:00,2023-03-07 17:40:00,70,Weightlifting,7.1,265.0,146,101,44,18,7,0,0,false,,,
2023-03-03 03:30:04,2023-03-04 03:15:33,UTC-05:00,2023-03-04 01:40:33,2023-03-04 02:58:24,77,Activity,12.2,599.0,171,129,17,23,44,15,0,false,,,
2023-03-03 03:30:04,2023-03-04 03:15:33,UTC-05:00,2023-03-03 15:48:08,2023-03-03 16:57:44,69,Weightlifting,4.8,138.0,132,98,55,16,0,0,0,false,,,
2023-03-02 02:19:10,2023-03-03 03:30:04,UTC-05:00,2023-03-02 18:01:00,2023-03-02 19:01:00,60,Squash,12.8,600.0,166,140,1,11,61,23,0,false,,,
2023-03-01 01:59:53,2023-03-02 02:19:10,UTC-05:00,2023-03-01 17:53:18,2023-03-01 19:02:03,68,Weightlifting,6.6,240.0,153,105,66,26,2,0,0,false,,,
2023-02-28 02:41:12,2023-03-01 01:59:53,UTC-05:00,2023-02-28 16:32:27,2023-02-28 17:46:25,73,Weightlifting,5.5,176.0,126,94,49,12,0,0,0,false,,,
2023-02-27 02:34:22,2023-02-28 02:41:12,UTC-05:00,2023-02-27 16:18:57,2023-02-27 17:32:47,73,Weightlifting,6.5,240.0,144,101,59,21,1,0,0,false,,,
2023-02-25 05:11:54,2023-02-26 04:05:10,UTC-05:00,2023-02-26 00:38:55,2023-02-26 01:55:58,77,Activity,9.4,469.0,148,121,15,64,21,0,0,false,,,
2023-02-22 02:24:39,2023-02-23 02:22:38,UTC-05:00,2023-02-22 15:24:49,2023-02-22 16:31:12,66,Weightlifting,6.3,222.0,127,97,57,16,0,0,0,false,,,
2023-02-20 23:45:01,2023-02-22 02:24:39,UTC-05:00,2023-02-21 18:56:57,2023-02-21 19:51:40,54,Weightlifting,5.1,131.0,131,96,56,8,0,0,0,false,,,
2023-02-20 02:24:34,2023-02-20 23:45:01,UTC-05:00,2023-02-20 18:07:00,2023-02-20 19:09:00,62,Spin,17.1,886.0,182,160,3,1,10,54,32,false,,,
2023-02-15 02:20:57,2023-02-16 01:58:24,UTC-05:00,2023-02-15 18:00:00,2023-02-15 19:13:00,73,Weightlifting,5.1,159.0,132,88,28,8,0,0,0,false,,,
2023-02-14 01:56:51,2023-02-15 02:20:57,UTC-05:00,2023-02-14 17:20:00,2023-02-14 18:20:00,60,Weightlifting,5.1,136.0,124,91,45,6,0,0,0,false,,,
2023-02-09 01:55:02,2023-02-10 03:32:38,UTC-05:00,2023-02-10 02:26:10,2023-02-10 03:29:35,63,Activity,10.2,452.0,157,130,11,30,52,7,0,false,,,
2023-02-08 01:35:17,2023-02-09 01:55:02,UTC-05:00,2023-02-08 16:16:04,2023-02-08 16:51:32,35,Running,10.9,361.0,174,137,7,6,47,31,2,true,4688.65,198.92,-25.15
2023-02-07 01:17:53,2023-02-08 01:35:17,UTC-05:00,2023-02-07 16:50:00,2023-02-07 17:53:00,63,Spin,17.7,897.0,187,156,3,5,7,38,42,false,,,
2023-02-06 00:24:58,2023-02-07 01:17:53,UTC-05:00,2023-02-06 15:23:50,2023-02-06 16:33:46,69,Weightlifting,5.8,188.0,147,98,48,16,2,0,0,false,,,
2023-02-03 04:17:53,2023-02-04 02:58:10,UTC-05:00,2023-02-03 16:20:00,2023-02-03 16:50:00,30,Spin,12.1,353.0,182,146,2,12,15,53,10,false,,,
2023-02-02 02:21:32,2023-02-03 04:17:53,UTC-05:00,2023-02-02 17:26:13,2023-02-02 18:15:27,49,Spin,14.1,538.0,185,143,11,18,17,32,20,false,,,
2023-02-01 00:57:28,2023-02-02 02:21:32,UTC-05:00,2023-02-02 00:05:21,2023-02-02 01:05:21,60,Activity,11.8,528.0,161,130,16,23,51,10,0,false,,,
2023-02-01 00:57:28,2023-02-02 02:21:32,UTC-05:00,2023-02-01 17:57:03,2023-02-01 18:46:20,49,Spin,14.8,569.0,183,144,11,20,10,23,33,false,,,
2023-01-31 00:29:53,2023-02-01 00:57:28,UTC-05:00,2023-01-31 17:00:00,2023-01-31 18:00:00,60,Yoga,0.0,82.0,97,72,0,0,0,0,0,false,,,
2023-01-30 00:12:25,2023-01-31 00:29:53,UTC-05:00,2023-01-30 17:11:31,2023-01-30 17:54:16,42,Spin,12.9,446.0,183,143,8,17,11,46,13,false,,,
2023-01-30 00:12:25,2023-01-31 00:29:53,UTC-05:00,2023-01-30 10:25:00,2023-01-30 11:00:00,35,Weightlifting,4.7,91.0,136,101,36,33,0,0,0,false,,,
2023-01-27 01:21:18,2023-01-28 03:14:57,UTC-05:00,2023-01-27 12:11:08,2023-01-27 12:38:02,26,Weightlifting,4.8,83.0,128,101,60,24,0,0,0,false,,,
2023-01-26 02:07:54,2023-01-27 01:21:18,UTC-05:00,2023-01-26 18:15:31,2023-01-26 18:51:47,36,Weightlifting,6.8,169.0,169,109,54,22,4,9,0,false,,,
2023-01-25 02:28:03,2023-01-26 02:07:54,UTC-05:00,2023-01-25 13:47:35,2023-01-25 14:34:10,46,Spin,16.2,645.0,191,156,7,4,14,23,49,false,,,
2023-01-22 00:31:44,2023-01-23 02:38:39,UTC-07:00,2023-01-23 01:25:31,2023-01-23 02:16:30,50,Activity,12.7,549.0,163,146,0,10,32,58,0,false,,,
2023-01-22 00:31:44,2023-01-23 02:38:39,UTC-07:00,2023-01-23 00:00:07,2023-01-23 01:12:03,71,Activity,13.0,695.0,174,141,0,7,71,22,0,false,,,
2023-01-22 00:31:44,2023-01-23 02:38:39,UTC-07:00,2023-01-22 10:35:00,2023-01-22 12:35:00,120,Skiing,5.4,235.0,152,95,41,11,3,0,0,false,,,
2023-01-21 04:25:17,2023-01-22 00:31:44,UTC-07:00,2023-01-21 13:45:00,2023-01-21 15:04:00,79,Skiing,5.5,192.0,129,96,40,16,0,0,0,false,,,
2023-01-21 04:25:17,2023-01-22 00:31:44,UTC-07:00,2023-01-21 11:15:00,2023-01-21 13:00:00,105,Skiing,5.9,244.0,147,94,35,11,3,0,0,false,,,
2023-01-19 23:01:28,2023-01-21 04:25:17,UTC-07:00,2023-01-21 01:54:07,2023-01-21 03:52:52,118,Activity,16.0,1171.0,168,138,4,22,46,28,0,false,,,
2023-01-19 23:01:28,2023-01-21 04:25:17,UTC-07:00,2023-01-21 00:39:09,2023-01-21 01:38:37,59,Dance,9.0,422.0,143,125,0,74,26,0,0,false,,,
2023-01-19 23:01:28,2023-01-21 04:25:17,UTC-07:00,2023-01-20 12:00:00,2023-01-20 13:15:00,75,Skiing,7.6,302.0,158,109,53,29,14,0,0,false,,,
2023-01-19 23:01:28,2023-01-21 04:25:17,UTC-07:00,2023-01-20 09:20:00,2023-01-20 10:50:00,90,Skiing,6.0,241.0,137,97,35,22,1,0,0,false,,,
2023-01-18 22:38:16,2023-01-19 22:01:28,UTC-08:00,2023-01-19 15:21:35,2023-01-19 16:01:44,40,Spin,9.4,333.0,162,131,8,6,57,20,0,false,,,
2023-01-15 22:16:57,2023-01-17 00:07:34,UTC+10:00,2023-01-16 15:20:00,2023-01-16 17:03:00,103,Hiking/Rucking,7.0,286.0,146,102,71,13,5,0,0,false,,,
2023-01-14 04:05:57,2023-01-15 03:24:53,UTC+11:00,2023-01-14 12:00:00,2023-01-14 13:05:00,65,Swimming,5.9,195.0,131,103,57,31,0,0,0,false,,,
2023-01-10 01:47:24,2023-01-11 00:41:03,UTC+11:00,2023-01-10 18:40:00,2023-01-10 19:40:00,60,Water Polo,5.7,178.0,141,104,46,28,7,0,0,false,,,
2023-01-10 01:47:24,2023-01-11 00:41:03,UTC+11:00,2023-01-10 14:00:00,2023-01-10 15:40:00,100,Hiking/Rucking,7.9,310.0,167,98,40,15,5,5,0,false,,,
2023-01-09 00:36:22,2023-01-10 01:47:24,UTC+11:00,2023-01-09 19:00:00,2023-01-09 20:30:00,90,Water Polo,9.5,430.0,157,103,31,19,15,1,0,false,,,
2023-01-09 00:36:22,2023-01-10 01:47:24,UTC+11:00,2023-01-09 11:30:00,2023-01-09 12:00:00,30,Swimming,7.5,221.0,158,119,24,49,16,9,0,false,,,
2023-01-07 23:44:17,2023-01-09 00:36:22,UTC+11:00,2023-01-08 18:00:00,2023-01-08 19:45:00,105,Water Polo,11.6,627.0,159,113,47,24,20,2,0,false,,,
2023-01-07 23:44:17,2023-01-09 00:36:22,UTC+11:00,2023-01-08 13:30:00,2023-01-08 16:00:00,150,Hiking/Rucking,14.5,979.0,181,116,34,20,23,7,1,false,,,
