Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2023-11-03 22:14:52,2023-11-05 01:00:00,UTC-07:00,2023-11-03 22:14:52,2023-11-04 05:12:04,62,14.8,332,411,163,86,83,79,537,63,81,62,false
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,2023-11-03 00:26:42,2023-11-03 08:36:01,77,14.0,431,485,271,81,79,54,557,80,88,75,false
2023-11-02 00:46:10,2023-11-03 00:26:42,UTC-07:00,2023-11-02 00:46:10,2023-11-02 07:53:28,67,14.4,319,427,162,84,73,108,479,86,75,61,false
2023-10-31 23:37:36,2023-11-02 00:46:10,UTC-07:00,2023-11-01 15:57:35,2023-11-01 17:33:18,15,15.7,81,95,56,25,0,14,560,86,87,,true
2023-10-31 23:37:36,2023-11-02 00:46:10,UTC-07:00,2023-10-31 23:37:36,2023-11-01 07:17:35,68,15.0,365,457,196,83,86,92,537,62,82,70,false
2023-10-31 00:27:04,2023-10-31 23:37:36,UTC-07:00,2023-10-31 00:27:04,2023-10-31 07:44:56,75,14.5,376,437,216,79,81,61,501,24,86,70,false
2023-10-29 23:41:02,2023-10-31 00:27:04,UTC-07:00,2023-10-29 23:41:02,2023-10-30 08:20:46,92,14.6,425,519,238,101,86,94,463,53,82,61,false
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,2023-10-29 17:30:00,2023-10-29 18:46:00,12,15.6,63,76,50,7,6,13,527,53,87,,true
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,2023-10-29 01:01:15,2023-10-29 09:24:58,85,15.6,457,503,262,102,93,46,540,62,90,67,false
2023-10-28 00:34:39,2023-10-29 01:01:15,UTC-07:00,2023-10-28 00:34:39,2023-10-28 10:11:11,80,15.1,390,576,274,93,23,186,488,0,67,55,false
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,2023-10-26 23:47:38,2023-10-27 11:03:58,100,15.3,539,671,330,100,109,132,524,41,80,46,false
2023-10-25 21:28:00,2023-10-26 23:47:38,UTC-07:00,2023-10-25 21:28:00,2023-10-26 07:05:44,88,15.3,485,572,289,118,78,87,550,75,85,76,false
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,2023-10-24 22:42:05,2023-10-25 07:32:43,79,15.4,456,530,273,89,94,74,574,95,86,68,false
2023-10-24 00:10:38,2023-10-24 22:42:05,UTC-07:00,2023-10-24 00:10:38,2023-10-24 07:17:56,62,15.4,316,423,153,80,83,107,507,26,74,59,false
2023-10-22 20:24:29,2023-10-24 00:10:38,UTC-07:00,2023-10-22 20:24:29,2023-10-23 08:15:42,92,15.0,509,711,294,99,116,202,551,76,71,52,false
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,2023-10-21 21:20:41,2023-10-22 07:10:14,80,15.4,484,589,238,119,127,105,603,127,82,46,false
2023-10-21 04:07:31,2023-10-21 21:20:41,UTC-07:00,2023-10-21 04:07:31,2023-10-21 08:43:42,41,15.7,236,274,95,53,88,38,578,95,86,48,false
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,2023-10-20 00:34:32,2023-10-20 07:56:42,66,15.3,377,442,255,62,60,65,567,80,85,76,false
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,2023-10-19 00:20:29,2023-10-19 08:08:06,71,15.7,395,467,213,94,88,72,557,81,84,64,false
2023-10-17 23:29:23,2023-10-19 00:20:29,UTC-07:00,2023-10-17 23:29:23,2023-10-18 07:18:30,71,15.6,390,465,223,74,93,75,553,72,83,68,false
2023-10-16 21:50:04,2023-10-17 23:29:23,UTC-07:00,2023-10-16 21:50:04,2023-10-17 06:08:59,72,15.5,378,496,208,73,97,118,522,46,77,81,false
2023-10-15 22:18:36,2023-10-16 21:50:04,UTC-07:00,2023-10-15 22:18:36,2023-10-16 06:32:14,82,15.0,433,493,263,91,79,60,526,46,87,71,false
2023-10-14 21:16:32,2023-10-15 22:18:36,UTC-07:00,2023-10-14 21:16:32,2023-10-15 05:46:59,86,15.4,445,508,253,90,102,63,517,38,87,73,false
2023-10-13 21:48:54,2023-10-14 21:16:32,UTC-07:00,2023-10-13 21:48:54,2023-10-14 07:27:03,89,15.9,469,578,290,107,72,109,528,54,81,63,false
2023-10-12 22:55:17,2023-10-13 21:48:54,UTC-07:00,2023-10-12 22:55:17,2023-10-13 09:16:17,81,15.1,457,620,256,118,83,163,567,91,73,68,false
2023-10-11 23:32:00,2023-10-12 22:55:17,UTC-07:00,2023-10-11 23:32:00,2023-10-12 07:11:30,68,15.9,391,459,259,78,54,68,574,73,85,79,false
2023-10-11 00:34:59,2023-10-11 23:32:00,UTC-07:00,2023-10-11 00:34:59,2023-10-11 07:43:57,69,14.9,335,428,189,62,84,93,483,7,78,64,false
2023-10-09 22:11:15,2023-10-11 00:34:59,UTC-07:00,2023-10-09 22:11:15,2023-10-10 07:19:46,98,15.1,474,548,246,110,118,74,486,9,86,84,false
2023-10-08 21:40:11,2023-10-09 22:11:15,UTC-07:00,2023-10-08 21:40:11,2023-10-09 07:49:22,97,15.4,461,607,288,87,86,143,476,1,77,77,false
2023-10-07 22:14:09,2023-10-08 21:40:11,UTC-07:00,2023-10-07 22:14:09,2023-10-08 08:03:26,99,15.5,479,589,242,112,125,110,481,7,81,71,false
2023-10-06 22:32:32,2023-10-07 22:14:09,UTC-07:00,2023-10-06 22:32:32,2023-10-07 09:34:09,98,15.2,533,661,346,103,84,128,544,62,80,65,false
2023-10-06 00:29:53,2023-10-06 22:32:32,UTC-07:00,2023-10-06 00:29:53,2023-10-06 08:36:18,75,15.1,382,484,230,92,60,102,506,31,78,,false
2023-10-04 21:35:55,2023-10-06 00:29:53,UTC-07:00,2023-10-04 21:35:55,2023-10-05 07:03:59,88,15.6,458,568,276,98,84,110,520,0,80,,false
2023-06-17 03:42:55,2023-06-18 03:42:55,UTC+02:00,2023-06-17 03:42:55,2023-06-17 11:33:00,66,13.6,410,468,245,73,92,58,618,139,87,,false
2023-06-16 04:57:21,2023-06-17 03:42:55,UTC+02:00,2023-06-16 04:57:21,2023-06-16 11:47:23,54,15.8,346,407,123,97,126,61,638,151,86,,false
2023-06-15 04:34:35,2023-06-16 04:57:21,UTC+02:00,2023-06-15 04:34:35,2023-06-15 10:58:09,50,14.6,328,384,163,75,90,56,662,186,85,,false
2023-06-10 04:07:42,2023-06-11 04:07:42,UTC+02:00,2023-06-10 04:07:42,2023-06-10 06:39:44,21,17.1,127,152,64,28,35,25,592,108,83,62,false
2023-06-09 01:20:29,2023-06-10 03:07:42,UTC+01:00,2023-06-09 01:20:29,2023-06-09 07:16:10,54,14.8,322,355,151,61,110,33,594,101,90,75,false
2023-06-08 02:07:27,2023-06-09 01:20:29,UTC+01:00,2023-06-08 02:07:27,2023-06-08 09:14:47,57,14.3,350,427,168,93,89,77,611,99,82,,false
2023-06-07 02:48:15,2023-06-08 02:07:27,UTC+01:00,2023-06-07 02:48:15,2023-06-07 08:53:04,58,17.8,328,365,196,77,55,37,569,45,91,,false
2023-06-06 00:28:49,2023-06-07 02:48:15,UTC+01:00,2023-06-06 00:28:49,2023-06-06 10:51:44,85,15.8,533,622,313,104,116,89,630,125,85,,false
2023-05-29 08:33:05,2023-05-30 08:33:05,UTC+01:00,2023-05-29 08:33:05,2023-05-29 14:08:06,47,15.2,306,335,172,60,74,29,657,160,91,74,false
2023-05-28 04:22:34,2023-05-29 03:33:05,UTC-04:00,2023-05-28 04:22:34,2023-05-28 07:52:37,32,16.9,198,210,90,53,55,12,613,101,94,75,false
2023-05-27 03:46:59,2023-05-28 04:22:34,UTC-04:00,2023-05-27 03:46:59,2023-05-27 10:23:59,57,16.8,362,396,223,64,75,34,641,122,91,,false
2023-05-26 05:08:10,2023-05-27 03:46:59,UTC-04:00,2023-05-26 05:08:10,2023-05-26 10:03:47,48,14.5,265,293,102,76,87,28,552,75,91,,false
2023-05-23 00:46:18,2023-05-25 00:00:00,UTC-04:00,2023-05-23 00:46:18,2023-05-23 09:58:06,75,14.1,437,547,235,93,109,110,583,91,80,69,false
2023-05-22 02:21:56,2023-05-23 00:46:18,UTC-04:00,2023-05-22 02:21:56,2023-05-22 10:29:19,70,14.2,415,484,246,92,77,69,595,115,85,67,false
2023-05-21 05:45:42,2023-05-22 02:21:56,UTC-04:00,2023-05-21 05:45:42,2023-05-21 10:52:50,51,15.1,269,307,120,70,79,38,525,45,87,42,false
2023-05-20 00:48:38,2023-05-21 05:45:42,UTC-04:00,2023-05-20 00:48:38,2023-05-20 09:48:24,85,16.2,472,539,302,103,67,67,552,54,87,72,false
2023-05-19 01:27:02,2023-05-20 00:48:38,UTC-04:00,2023-05-19 01:27:02,2023-05-19 10:59:59,82,15.1,436,572,230,118,88,136,529,33,76,67,false
2023-05-18 00:00:41,2023-05-19 01:27:02,UTC-04:00,2023-05-18 00:00:41,2023-05-18 10:00:36,89,14.9,462,599,248,137,77,137,517,118,77,50,false
2023-05-17 01:23:19,2023-05-18 00:00:41,UTC-04:00,2023-05-17 14:45:00,2023-05-17 16:10:00,13,14.2,75,85,45,12,18,10,593,118,90,,true
2023-05-17 01:23:19,2023-05-18 00:00:41,UTC-04:00,2023-05-17 01:23:19,2023-05-17 09:34:33,50,14.6,308,491,138,87,83,183,621,129,62,64,false
2023-05-16 04:27:43,2023-05-17 01:23:19,UTC-04:00,2023-05-16 04:27:43,2023-05-16 09:59:59,45,15.3,287,332,167,67,53,45,637,100,86,78,false
2023-05-15 02:47:16,2023-05-16 04:27:43,UTC-04:00,2023-05-15 02:47:16,2023-05-15 11:06:40,67,14.9,402,495,202,84,116,93,597,112,81,,false
2023-05-14 02:42:53,2023-05-15 02:47:16,UTC-04:00,2023-05-14 02:42:53,2023-05-14 10:45:56,63,16.6,408,483,140,113,155,75,646,136,84,,false
2023-05-13 05:05:37,2023-05-14 02:42:53,UTC-04:00,2023-05-13 05:05:37,2023-05-13 11:13:19,55,15.6,339,367,91,98,150,28,612,134,92,,false
